id,avatar,description
1,"https://media.1815.io/topgear/i/full/2021/05/bmw-m3-compact-e36-4-scaled-e1621590187123.jpg","Drift enthusiast and car builder."
2,"https://www.classix.se/images/cars/2023/bmwm3estoril/till-salu-bmw-m3-e36.jpg","Loves JDM cars and track days."
3,,"Weekend drifter, full-time mechanic."
4,,"Aspiring Formula Drift driver."
5,"https://i.ebayimg.com/images/g/ozYAAOSwNRdX~K68/s-l1200.jpg","Classic BMW collector and tuner."
6,"https://example.com/avatar6.jpg","Passionate about grassroots drifting."
7,"https://www.nissan-global.com/EN/HERITAGE_COLLECTION/img/modelDetail/uploader/data/en/Web/1317164314611090367.jpg","Owns an S13 with an SR20 swap."
8,,"Builds and sells drift car parts."
9,"https://www.drifted.com/wp-content/uploads/2021/04/initial-d-ae86-thumbnail.jpg","Loves mountain touge runs."
10,"https://i.ytimg.com/vi/BQfzRp-L_oc/maxresdefault.jpg","Races in local drift competitions."
